,id,data
26,RX5Iw-XsWu4,"{0: 0.605695529621206, 1: 0.010190015824349665, 2: 0.3689669666699634, 4: 0.002092399367026071, 6: 0.0015731628918998486, 5: 0.002747626347542484, 3: 0.0016380674512906923, 7: 0.00047596676886559053, 9: 6.181386608655748e-06, 8: 0.0010292008703391975}"
27,DqhkAZPU5CQ,"{1: 0.0012132210509144979, 2: 0.13518748853047458, 3: 0.6136706563627845, 4: 0.10332769202536662, 5: 0.019482902758803683, 9: 0.035219093448606104, 8: 0.05837734233223868, 6: 0.02233754052566106, 7: 0.006275105519645857, 0: 7.136594417145314e-05}"
28,QT34Zqln-Fw,"{2: 0.0016715711477005393, 3: 0.46460377046511814, 4: 0.4981747063124424, 5: 0.023329656049046694, 7: 0.0006045558710384702, 9: 0.0009171680949513102, 6: 0.0002583572098455167, 8: 0.004252559674056827, 1: 0.0006148901594323908, 0: 0.00018343361899031407}"
29,SF6h9ZGkqnI,"{0: 0.3191127919773112, 1: 0.5965032472061633, 5: 0.0004928933459397711, 8: 0.01010276361269112, 2: 0.057863818838445505, 3: 0.0031805570624793833, 7: 0.0005083931366925976, 6: 0.0038005486925926785, 4: 0.002433467148193591}"
30,QQ4klklA9Qc,{}
31,rTt70azpVB8,"{0: 0.7174113737075332, 1: 0.004915989660265863, 2: 0.2705582994830136, 4: 0.0018694608567207394, 3: 0.0}"
32,P2uW5mlq0Ug,"{0: 0.3455114922223383, 1: 0.5971563075924105, 2: 0.026724469950886898, 3: 0.01247736091084739, 4: 0.008396754612963075, 6: 0.00023554201719455659, 5: 0.00298883721818477, 7: 0.0024954721821692782}"
33,_aZ6mcKQwRQ,"{1: 0.43628593925587295, 2: 0.5230255865332414, 3: 0.0076255055003017075, 4: 0.0031916276154146384, 5: 0.016244811216182084, 6: 0.007357943903800124, 8: 0.0012728287376444491, 7: 0.0006880155338618854, 0: 0.00020640466015853232}"
34,xtwl-lu6goE,"{0: 0.2695228930970377, 1: 0.6943320783624964, 3: 0.003842764299038154, 7: 0.008654004851723782, 8: 0.0036341215048436987, 2: 0.007601448666087529, 6: 0.007199733435474753, 4: 0.0010650124718566412, 9: 0.000893738536324018, 10: 0.0001432472915362526, 5: 3.1140715552879783e-06}"
35,pcR4QxSqjn0,"{0: 0.4974201217719566, 1: 0.00466977132607032, 2: 0.48603542379452924, 5: 0.001678731662839078, 4: 0.0015381272342258057, 3: 0.0, 7: 0.0012313539354327219, 6: 0.0017511642472763933}"
36,d1SZAceBcTk,"{0: 0.4300628326328001, 1: 0.5433480612259531, 2: 0.0, 4: 0.005440473970362486, 3: 0.0, 5: 0.007219297364759458, 6: 0.009044743146508938, 7: 0.0005917456856360248}"
37,FCVFCI9m-48,"{0: 0.211045745130718, 1: 0.17620830327603834, 2: 0.013818064227257964, 3: 0.5749577124947174, 4: 0.007418969677371202, 5: 0.0017132658391583178, 7: 0.002841969105246228, 6: 0.0008208751026093919, 8: 0.0005659063207384407, 9: 0.0006312032039003657}"
38,0ub5OLNnN-o,"{0: 0.002607509627727856, 1: 0.5282444208551395, 3: 0.30162560481879996, 2: 0.16378246272341232}"
39,hXfNAiX9d_Y,"{1: 0.004471077076286627, 2: 0.2330454490822617, 3: 0.7515186895829379, 4: 0.0024003708727528827, 7: 0.0016860974227776715, 5: 0.0015143970742260704, 8: 0.0005357050874813529, 6: 0.0004292508713792387, 9: 0.00017856836249385832, 0: 0.0002163424391751212}"
40,osWoNru-1Oo,"{0: 0.34797949855610105, 1: 0.6326378396985989, 2: 0.0009116002728424555, 3: 0.0006151708134916056, 4: 0.005201858899577555, 5: 0.0021387544862845054, 6: 0.0034041576622232117, 7: 0.001482147296754499}"
41,qzzMuSx3-Pc,"{0: 0.002220717842297395, 1: 0.27194303320953706, 2: 0.6868439866630395, 3: 0.0077503685379317405, 4: 0.006560924223539109, 5: 0.008873381122000605, 6: 0.004662874785678314, 7: 0.0011767906514736654, 8: 0.0016544664266686503, 9: 0.0006105392358455308, 10: 0.0022302080894865406}"
42,cbM0aCeNGl8,"{0: 0.0038788004163246965, 1: 0.4085120275136236, 2: 0.002660210618862403, 3: 0.524672402981505, 4: 0.015780253027080693, 5: 0.015405302320169187, 6: 0.0249115956738445}"
43,1cbnCrHwVSg,"{0: 0.00198159751928338, 1: 0.874740042134309, 2: 0.03426878713381886, 3: 0.004778152380114723, 4: 0.006215317816454972, 5: 0.031164509791323486, 6: 0.01796625873712039, 7: 0.017066762252258078, 8: 0.01005677648864977}"
44,EcMRWjpVWDc,"{0: 0.00481717289928673, 1: 0.9923125650908858, 2: 0.0010378752903364152, 3: 8.231424716459435e-05}"
45,3L7nsSNyDAQ,"{0: 0.0012728451691923438, 1: 4.8031893177048843e-05, 2: 0.9965897355844281, 3: 6.604385311842487e-05, 4: 7.204783976566542e-05, 5: 0.0}"
46,c6bjKNHVS8M,"{2: 0.4953937056707599, 1: 0.48240361737875304, 0: 0.0027400967490951444, 3: 0.0007554999267052054}"
47,K_QO1plJ9hs,"{0: 0.004235713473133366, 1: 0.6309279132380264, 2: 4.5504531493045786e-05, 3: 7.584088582257564e-06, 4: 0.0}"
48,sVIHKnAc5OE,{}
